,Country Name,Country Border Name,Happiness Score 2015,Happiness Score 2016,Happiness Score 2017
144,Germany,Luxembourg,6.9460000000000015,6.871,6.86299991607666
145,Germany,Netherlands,7.377999999999999,7.338999999999999,7.3769998550415
146,Germany,Poland,5.791,5.835,5.97300004959106
147,Germany,Switzerland,7.5870000000000015,7.508999999999999,7.49399995803833
148,Djibouti,Ethiopia,4.512,4.508,4.46000003814697
149,Djibouti,Somalia,,5.44,5.151000022888179
150,Denmark,Germany,6.75,6.994,6.9510002136230495
151,Dominican Republic,Haiti,4.518,4.0280000000000005,3.6029999256134
152,Algeria,Libya,5.754,5.615,5.525000095367429
153,Algeria,Mali,3.995,4.073,4.19000005722046
154,Algeria,Mauritania,4.436,4.2010000000000005,4.29199981689453
155,Algeria,Morocco,5.013,5.151,5.2350001335144
156,Algeria,Niger,3.845,3.856,4.02799987792969
157,Algeria,Tunisia,4.739,5.045,4.80499982833862
158,Ecuador,Colombia,6.477,6.481,6.35699987411499
159,Ecuador,Peru,5.824,5.7429999999999986,5.71500015258789
160,Estonia,Latvia,5.098,5.56,5.849999904632571
161,Egypt,Israel,7.278,7.267,7.212999820709231
162,Egypt,Libya,5.754,5.615,5.525000095367429
163,Egypt,Palestine,,,
164,Egypt,Sudan,4.55,4.1389999999999985,4.138999938964839
165,Spain,Angola,4.033,3.866,3.79500007629395
166,Spain,France,6.575,6.478,6.44199991226196
167,Spain,Morocco,5.013,5.151,5.2350001335144
168,Spain,Portugal,5.102,5.122999999999998,5.19500017166138
169,Ethiopia,Djibouti,4.369,,
170,Ethiopia,Kenya,4.419,4.356,4.55299997329712
171,Ethiopia,Somalia,,5.44,5.151000022888179
172,Ethiopia,South Sudan,,3.832,3.5910000801086404
173,Ethiopia,Sudan,4.55,4.1389999999999985,4.138999938964839
174,Finland,Norway,7.522,7.497999999999998,7.537000179290769
175,Finland,Sweden,7.364,7.291,7.28399991989136
176,France,Angola,4.033,3.866,3.79500007629395
177,France,Belgium,6.937,6.9289999999999985,6.89099979400635
178,France,Germany,6.75,6.994,6.9510002136230495
179,France,Italy,5.948,5.977,5.96400022506714
180,France,Luxembourg,6.9460000000000015,6.871,6.86299991607666
181,France,Morocco,5.013,5.151,5.2350001335144
182,France,Spain,6.329,6.3610000000000015,6.40299987792969
183,France,Switzerland,7.5870000000000015,7.508999999999999,7.49399995803833
184,Gabon,Cameroon,4.252,4.513,4.69500017166138
185,Gabon,Togo,2.839,3.303,3.4949998855590803
186,United Kingdom,Ireland,6.94,6.907,6.977000236511231
187,Georgia,Armenia,4.35,4.36,4.37599992752075
188,Georgia,Azerbaijan,5.2120000000000015,5.291,5.2340002059936515
189,Georgia,Turkey,5.332000000000002,5.3889999999999985,5.5
190,Ghana,Burkina Faso,3.587,3.739,4.03200006484985
191,Ghana,Togo,2.839,3.303,3.4949998855590803
192,Guinea,Guinea,3.656,3.607,3.50699996948242
